season,name,age,hometown,job,outcome
12,Amanda Peterman,26,Midwest,Law student,1
12,Denise Gitsham,30,Foreign,Attorney and former White House aide,1
12,Devon Grisham,24,South,Make-up artist,1
12,Lesley Geyer,23,South,Youth minister,1
12,Michele Romero,33,West,Interior designer,1
12,Rebecca LeBlanc,30,West,Attorney,1
12,Stacey Elza,26,Midwest,Graduate student,1
12,Tamara Marco,23,West,Cocktail waitress,1
12,Tiffany Hickenbottom,33,West,Real estate marketing rep.,1
13,Melissa Rycroft,25,South,Sales Representative,winner
13,Molly Malaney,24,Midwest,Department Store Buyer,runnerUp
13,Jillian Harris,29,Foreign,Interior Designer,7
13,Naomi Crespo,24,West,Flight Attendant,6
13,Stephanie Hogan,34,South,Medical Marketing Representative,5
13,Lauren Wanger,27,Northeast,Teacher,4
13,Megan Parris,25,Northeast,Lacrosse Coach,4
13,Shannon Bair,29,Midwest,Dental Hygienist,4
13,Nikki Kaapke,29,Midwest,Administrative Assistant,4
13,Erica DeSimone,25,Northeast,Account Executive,3
13,Kari Fajen,27,Midwest,Account Executive,3
13,Natalie Getz,27,Midwest,Human Resources Recruiter,3
13,Raquel Medeiros,27,Foreign,Medical Student,2
13,Sharon Staebell,32,Northeast,Teacher,2
13,Lisa Gonzalez,28,West,Public Relations Associate,2
13,Ann Lueders,24,West,Flight Attendant,1
13,Dominique Carta,26,Northeast,Medical Sales Representative,1
13,Emily,23,West,Casino Marketing Representative,1
13,Jackie Hickley,26,Northeast,Wedding Coordinator,1
13,Julie Dermotta,26,Midwest,Teacher,1
13,Nicole Mah,25,Foreign,Menswear Buyer,1
13,Renee Simlak,36,Midwest,Jewelry Designer,1
13,Shelby Callas,23,West,Account Executive,1
13,Stacia Mann,24,West,Charity Accountant,1
13,Treasure Morgan,28,West,Nurse Practitioner,1
14,Vienna Girardi,23,South,Marketing Representative,winner
14,Tenley Molzahn,25,West,College Admissions,runnerUp
14,Gia Allemand,26,Northeast,Swimsuit Model,7
14,Ali Fedotowsky,25,Northeast,Advertising Account Manager,6
14,Corrie Adamson,23,South,Wardrobe Consultant,5
14,Ashleigh Hunt,25,South,Account Manager,4
14,Jessica Sulidis,25,Foreign,Cosmetic Sales Manager,4
14,Kathryn Sherlock,25,South,Corporate Flight Attendant,4
14,Ella Nolan,30,South,Hair Stylist,4
14,Elizabeth Kitt (NE),29,Midwest,Nanny,3
14,Valishia Savage,32,West,Homemaker,3
14,Michelle Kujawa,26,West,Office Manager,3
14,Ashley Elmore,29,Northeast,Teacher,2
14,Christina McCasland,25,West,Restaurant Manager,2
14,Rozlyn Papa,28,South,Model/Make-Up Artist,2
14,Alexa McAllister,25,Midwest,Entrepreneur,1
14,Caitlyn McCabe,24,Midwest,Spokesmodel,1
14,Channy Choch,29,West,Mortgage Loan Officer,1
14,Elizabeth Kreft (D.C.),29,South,"Captain, Air National Guard",1
14,Emily Harkins,23,Midwest,Fit Model,1
14,Kimberly Sullivan,24,South,NBA Dancer,1
14,Kirsten Pittman,25,West,Waitress,1
14,Sheila Lidner,25,West,Commercial Pilot,1
14,Stephanie Mueller,24,Midwest,Dance Teacher,1
14,Tiana Kruzel,31,Foreign,Medical Technician,1
17,Catherine Giudici,26,West,Graphic Designer,winner
17,Lindsay Yenter,24,Midwest,Substitute Teacher,runnerUp
17,AshLee Frazier,32,South,Personal Organizer,9
17,Desiree Hartsock,26,West,Bridal Stylist,8
17,Lesley Murphy,25,South,Political Consultant,7
17,Tierra LiCausi,24,West,Leasing Consultant,7
17,Daniella McBride,24,West,Commercial Casting Associate,6
17,Selma Alameri,29,West,Real Estate Dealer,6
17,Sarah Herron,26,West,Advertising Executive,6
17,Robyn Howard,24,Midwest,Oil Field Account Manager,5
17,Jacqueline Parr,25,South,Cosmetics Consultant,5
17,Amanda Meyer,26,West,Fit Model,4
17,Leslie Hughes,28,South,Poker Dealer,4
17,Kristina Kaminski,25,Midwest,Model,3
17,Taryn Renee Daniels,30,West,Health Club Manager,3
17,Kacie Boguskie,25,South,Administrative Assistant,3
17,Brooke Burchette,25,Northeast,Community Organizer,2
17,Diana Weeks Willardson,31,West,Salon Owner,2
17,Katherine Levans,27,Midwest,Yoga Instructor,2
17,Ashley Harper,25,South,Fashion Model,1
17,Ashley Palenkas,28,Midwest,Hair Stylist,1
17,Kelly Dutton,28,South,Cruise Ship Entertainer,1
17,Keriann Miranda,29,West,Entrepreneur,1
17,Lacey Latka,24,West,Graduate Student,1
17,Lauren Marchetti,27,Northeast,Journalist,1
17,Paige Vigil,25,Midwest,Jumbotron Operator,1
18,Nikki Ferrell,26,Midwest,Pediatric Nurse,winner
18,Clare Crawley,32,West,Hairstylist,runnerUp
18,Andi Dorfman,26,South,Assistant District Attorney,9
18,Renee Oteri,32,Northeast,Real Estate Agent,8
18,Chelsie Webster,24,Midwest,Science Educator,7
18,Sharleen Joynt,29,Foreign,Opera Singer,7
18,Katherine Hurd,29,Midwest,Medical Sales Rep,6
18,Cassandra Ferguson,22,Midwest,Former NBA Dancer,6
18,Allison Restko,26,Midwest,Nanny,5
18,Danielle Ronco,25,Midwest,Psychiatric Nurse,5
18,Kelly Travis,27,South,Dog Lover,5
18,Elise Mosca,27,Northeast,First Grade Teacher,4
18,Lauren Solomon,26,Midwest,Music Composer,4
18,Christy Hansen,24,Midwest,Marketing Manager,3
18,Lucinda Aragon,25,West,Free Spirit,3
18,Amy Long,27,South,Local News Reporter,2
18,Chantel Forrest,27,South,Account Manager,2
18,Victoria Lima,24,Foreign,Legal Assistant,2
18,Alexis Morgado,24,South,Communications Director,1
18,Amy Jokinen,31,South,Massage Therapist,1
18,Ashley Poe,25,South,Grade School Teacher,1
18,Christine Llano,23,South,Police Support Specialist,1
18,Kylie Lewis,23,Midwest,Interior Designer,1
18,Lacy Faddoul,25,West,Nursing Home Owner,1
18,Lauren Higginson,25,South,Mineral Coordinator,1
18,Maggie Gantt,25,South,Personal Banker,1
18,Valerie Eredia,26,West,Personal Trainer,1
19,Whitney Bischoff,29,South,Fertility Nurse,winner
19,Becca Tilley,25,South,Chiropractic Assistant,runnerUp
19,Kaitlyn Bristowe,29,Foreign,Dance Instructor,9
19,Jade Roper,28,Midwest,Cosmetics Developer,8
19,Carly Waddell,29,South,Cruise Ship Singer,7
19,Britt Nilsson,27,Midwest,Waitress,7
19,Megan Bell,24,South,Make-Up Artist,6
19,Kelsey Poe,28,Midwest,Guidance Counselor,6
19,Ashley Iaconetti,26,South,Journalist,6
19,Mackenzie Deonigi,21,West,Dental Assistant,5
19,Samantha Steffen,27,Midwest,Fashion Designer,5
19,Ashley Salter,24,South,Hair Stylist,4
19,Juelia Kinney,30,West,Esthetician,4
19,Nikki Delventhal,26,Northeast,Former NFL Cheerleader,4
19,Jillian Anderson,25,Midwest,News Producer,4
19,Amber James,29,Midwest,Bartender,3
19,Tracy Darakis,29,South,Fourth Grade Teacher,3
19,Trina Scherenberg,33,Midwest,Special Education Teacher,3
19,Alissa Giambrone,24,Northeast,Flight Attendant,2
19,Jordan Branch,24,West,Student,2
19,Kimberly Sherbach,28,Northeast,Yoga Instructor,2
19,Tandra Steiner,30,West,Executive Assistant,2
19,Tara Eddings,26,South,Sport Fishing Enthusiast,2
19,Amanda Goerlitz,24,Midwest,Ballet Teacher,1
19,Bo Stanley,25,West,Plus-Size Model,1
19,Brittany Fetkin,26,West,WWE Diva-in-Training,1
19,Kara Wilson,25,South,High School Soccer Coach,1
19,Michelle Davis,25,West,Wedding Cake Baker,1
19,Nicole Meacham,31,West,Real Estate Agent,1
19,Reegan Cornwell,28,West,Cadaver Tissue Saleswoman,1
20,Lauren Bushnell,25,West,Flight Attendant,winner
20,Joelle Fletcher,24,South,Real Estate Developer,runnerUp
20,Caila Quinn,24,Midwest,Software Sales Representative,9
20,Amanda Stanton,25,West,Esthetician,8
20,Becca Tilley,26,South,Chiropractic Assistant,7
20,Emily Ferguson,23,West,Waitress,6
20,Lauren Himle,25,Midwest,Kindergarten Teacher,6
20,Olivia Caridi,23,South,Former News Anchor,6
20,Leah Block,25,West,Event Planner,6
20,Jennifer Saviano,25,South,Small Business Owner,5
20,Jubilee Sharpe,24,South,War Veteran,5
20,Amber James,30,Midwest,Bartender,4
20,Rachel Tchen,23,South,Unemployed,4
20,Haley Ferguson,23,West,Waitress,4
20,Jami Letain,23,Foreign,Bartender,3
20,Shushanna Mkrtychyan,27,West,Property Manager,3
20,Lace Morris,25,West,Real Estate Agent,3
20,Amanda Kremer,28,West,Dentist,2
20,Jacqueline Dion,23,West,Gerontologist,2
20,Samantha Passmore,26,South,Attorney,2
20,Lauren Barr,23,South,Fashion Buyer,2
20,Breanne Rice,30,West,Nutritional Therapist,1
20,Isabel Goodkind,24,Northeast,Graphic Designer,1
20,Jessica Moser,23,South,Accountant,1
20,Laura Esselman,24,South,Account Executive,1
20,Lauren Russell,26,South,Math Teacher,1
20,Maegan Miller,30,West,Cowgirl,1
20,Tiara Soleim,27,West,Chicken Enthusiast,1
21,Vanessa Grimaldi,29,Foreign,Special Education Teacher,winner
21,Raven Gates,25,South,Fashion Boutique Owner,runnerUp
21,Rachel Lindsay,31,South,Attorney,9
21,Corinne Olympios,24,South,Business Owner,8
21,Kristina Schulman,24,South,Dental Hygienist,7
21,Danielle Maltby,31,Midwest,Neonatal Nurse,7
21,Danielle Lombard,27,West,Small Business Owner,6
21,Whitney Fransway,25,Midwest,Pilates Instructor,6
21,Jasmine Goode,29,Northeast,Pro Basketball Dancer,6
21,Alexis Waters,23,Northeast,Aspiring Dolphin Trainer,5
21,Jaimi King,28,South,Chef,5
21,Josephine Tutman,24,West,Registered Nurse,5
21,Taylor Nolan,23,West,Mental Health Counselor,5
21,Astrid Loch,26,South,Plastic Surgery Office Manager,4
21,Sarah Vendal,26,West,Grade School Teacher,4
21,Brittany Farrar,26,West,Travel Nurse,3
21,Christen Whitney,25,Midwest,Wedding Videographer,3
21,Dominique Alexis,25,West,Restaurant Server,3
21,Elizabeth Whitelaw,24,Midwest,Marketing Manager,2
21,Hailey Merkt,23,Foreign,Photographer,2
21,Lacey Mark,25,Northeast,Digital Marketing Manager,2
21,Elizabeth Sandoz,29,Midwest,Doula,2
21,Angela Amezcua,26,South,Model,1
21,Briana Guertler,28,West,Surgical Unit Nurse,1
21,Ida Marie DeLosSantos,23,South,Sales Manager,1
21,Jasmine Brown,25,West,Flight Attendant,1
21,Lauren Hussey,30,South,Law School Graduate,1
21,Michelle Ramkissoon,24,South,Food Truck Owner,1
21,Olivia Burnette,25,West,Apparel Sales Representative,1
21,Susannah Milan,26,West,Account Manager,1
22,Becca Kufrin,27,Midwest,Publicist,winner
22,Lauren Burnham,25,South,Technology Salesperson,runnerUp
22,Kendall Long,26,West,Creative Director,9
22,Tia Booth,26,South,Physical Therapist,8
22,Bekah Martinez,22,West,Nanny,7
22,Seinne Fleming,27,West,Commercial Real Estate Agent,7
22,Jacqueline Trumbull,26,South,Research Coordinator,7
22,Chelsea Roy,29,Northeast,Real Estate Executive Assistant,6
22,Jenna Cooper,28,Midwest,Social Media Manager,6
22,Krystal Nielson,29,West,Fitness Coach,6
22,Ashley Luebke,25,South,Real Estate Agent,5
22,Maquel Cooper,23,West,Photographer,5
22,Marikh Mathias,27,West,Restaurant Owner,5
22,Brittany Taylor,30,South,Tech Recruiter,4
22,Caroline Lunny,26,Northeast,Realtor,4
22,Bibiana Julian,30,South,Executive Assistant,3
22,Annaliese Puccini,32,West,Event Designer,3
22,Lauren Schleyer,31,South,Social Media Manager,3
22,Jennifer Delaney,25,Midwest,Graphic Designer,2
22,Lauren Griffin,26,Midwest,Executive Recruiter,2
22,Valerie Biles,26,South,Server,2
22,Alison Harrington,27,South,Personal Stylist,1
22,Amber Wilkerson,29,West,Business Owner,1
22,Brianna Amaranthus,25,West,Sports Reporter,1
22,Brittane Johnson,27,West,Marketing Manager,1
22,Jessica Carroll,26,Foreign,Television Host,1
22,Lauren Jarreau,33,South,Recent Master's Graduate,1
22,DNysha Norris,30,South,Orthopedic Nurse,1
22,Olivia Goethals,23,Midwest,Marketing Associate,1
23,Cassie Randolph,23,West,Speech Pathologist,winner
23,Hannah Godwin,23,South,Content Creator,9
23,Tayshia Adams,28,West,Phlebotomist,9
23,Caelynn Miller-Keyes,23,South,Miss North Carolina USA 2018,8
23,Kirpa Sudick,26,West,Dental Hygienist,7
23,Heather Martin,23,West,Assistant Program Manager,7
23,Hannah Brown,24,South,Miss Alabama USA 2018,7
23,Katie Morton,26,South,Medical Sales Representative,6
23,Demi Burnett,23,South,Interior Designer,6
23,Sydney Lotuaco,27,South,NBA Dancer,6
23,Nicole Lopez-Alvar,25,South,Social Media Coordinator,5
23,Onyeka Ehie,24,Midwest,IT Risk Consultant,5
23,Elyse Dehlbom,31,West,Makeup Artist,5
23,Courtney Curtis,23,South,Caterer,4
23,Tracy Shapoff,31,Northeast,Wardrobe Stylist,4
23,Brianna Barnes,24,West,Model,3
23,Catherine Agro,26,South,DJ,3
23,Nina Bartula,30,South,Sales Account Manager,3
23,Caitlin Clemmens,25,Foreign,Realtor,3
23,Alex Blumberg,29,Foreign,Dog Rescuer,2
23,Angelique Sherman,28,Northeast,Marketing Salesperson,2
23,Annie Reardon,23,Midwest,Financial Associate,2
23,Erika McNutt,25,West,Recruiter,2
23,Alex Dillon,23,Northeast,Sloth,1
23,Devin Gooden,23,West,Broadcast Journalist,1
23,Erin Landry,28,South,Cinderella,Week1
23,Adrianne Averbukh,26,West,Social Worker,1
23,Laura Pellerito,26,South,Accountant,1
23,Revian Chang,24,South,Nurse,1
23,Tahzjuan Hawkins,25,West,Business Development Associate,1
24,Hannah Ann Sluss,23,South,Model,winner
24,Madison Prewett,23,South,Foster Parent Recruiter,runnerUp
24,Victoria Fuller,26,South,Medical Sales Rep,9
24,Kelsey Weier,28,Midwest,Professional Clothier,8
24,Kelley Flanagan,27,Midwest,Attorney,7
24,Natasha Parker,31,Northeast,Event Planner,7
24,Mykenna Dorn,22,Foreign,Fashion Blogger,6
24,Sydney Hightower,24,South,Retail Marketing Manager,6
24,Tammy Ly,24,Northeast,House Flipper,6
24,Victoria Paul,27,South,Nurse,6
24,Lexi Buchanan,26,South,Marketing Coordinator,5
24,Shiann Lewis,27,West,Administrative Assistant,5
24,Deandra Kanu,23,Northeast,Home Care Coordinator,4
24,Kiarra Norman,23,South,Nanny,4
24,Savannah Mullins,27,South,Realtor,4
24,Alayah Benavidez,24,South,Orthodontist Assistant,4
24,Alexa Caves,27,Midwest,Esthetician,4
24,Jasmine Nguyen,25,South,Client Relations Manager,4
24,Sarah Coffin,24,South,Medical Radiographer,4
24,Courtney Perry,26,South,Cosmetologist,2
24,Lauren Jones,26,West,Marketing Executive,2
24,Payton Moran,24,Northeast,Business Development Rep,2
24,Avonlea Elkins,27,South,Cattle Rancher,1
24,Eunice Cho,23,Midwest,Flight Attendant,1
24,Jade Gilliland,26,West,Media Buyer,1
24,Jenna Serrano,22,Midwest,Nursing Student,1
24,Katrina Badowski,28,Midwest,Pro NBA Dancer,1
24,Kylie Ramos,26,West,Entertainment Sales Associate,1
24,Maurissa Gunn,23,West,Patient Care Coordinator,1
24,Megan Hops,26,West,Flight Attendant,1
25,Rachael Kirkconnell,24,South,Graphic Designer,winner
25,Michelle Young,27,Midwest,Teacher,runnerUp
25,Briana Springs,24,South,Communications Manager,9
25,Serena Pitt,23,Foreign,Publicist,8
25,Pieper James,23,West,Graduate Student,8
25,Jessenia Cruz,27,South,Social Media Marketer,8
25,Kit Keenan,21,Northeast,Fashion Entrepreneur,7
25,Abigail Heringer,25,West,Client Financial Manager,7
25,Chelsea Vaughn,29,South,Runway Model,6
25,Serena Chew,24,West,Flight Attendant,6
25,Katie Thurston,29,West,Bank Marketing Manager,6
25,Brittany Galvin,23,Midwest,Model,5
25,Mearg Tareke,32,Foreign,Pharmacist,5
25,Ryan Claytor,26,South,Dancer/Choreographer,5
25,Meredith Snyder,23,Midwest,Hairstylist,5
25,Catalina Morales,29,Foreign,Former Miss Universe Puerto Rico,4
25,Lauren Maddox,29,South,Corporate Attorney,4
25,Mariela Pepin,24,South,Marketing Director,4
25,Victoria Larson,27,West,Queen,4
25,Anna Redman,24,Midwest,Copywriter,4
25,Kaili Anderson,26,West,Hostess,3
25,Khaylah Epps,28,South,Healthcare Advocate,3
25,Kimberly Li,28,West,ICU Nurse,3
25,Sarah Trott,24,West,Broadcast Journalist,3
25,Alana Milne,26,South,Photographer,2
25,Illeana Pennetto,25,Northeast,Health Food Developer,2
25,Kristin Hopkins,27,South,Attorney,2
25,Marylynn Sienna,28,West,Event Coordinator,2
25,Sydney Johnson,28,South,Marketing Specialist,2
25,Alicia Holloway,24,South,Professional Ballerina,1
25,Amber Andrews,30,West,Nursing Student,1
25,Carolyn Vallejo,30,Northeast,Journalist,1
25,Casandra Suarez,25,West,Social Worker,1
25,Corrinne Jones,22,Northeast,Marketing Manager,1
25,Emani Curl,25,West,Realtor,1
25,Kimberly Courneya,28,West,Airline Recruiter,1
25,Saneh Ste. Claire,25,South,IT Consultant,1
26,Susie Evans,28,South,Wedding Videographer,winner
26,"Gabriela ""Gabby"" Windey",30,Midwest,ICU Nurse,runnerUp
26,Rachel Recchia,25,South,Flight Instructor,9
26,Serene Russell,26,South,Elementary School Teacher,8
26,Teddi Wright,24,West,Surgical Unit Nurse,7
26,Sarah Hamrick,23,South,Wealth Management Advisor,7
26,Genevieve Parisi,26,Northeast,Bartender,7
26,Eliza Isichei,25,South,Marketing Manager,6
26,Mara Agrait,32,Northeast,Entrepreneur,6
26,Hunter Haag,28,South,Human Resources Specialist,5
26,Marlena Wesh,30,South,Former Olympian,5
26,Shanae Ankney,29,Midwest,Recruiter,5
26,Jillian Chin,26,Northeast,Architectural Historian,4
26,Lyndsey Windham,28,South,Industrial Sales Representative,4
26,Sierra Jackson,26,South,Yoga Instructor,4
26,Elizabeth Corrigan,32,West,Real Estate Advisor,3
26,Kira Mengistu,32,South,Physician,3
26,Melina Nasab,27,West,Personal Trainer,3
26,Ency Abedin,28,West,Sales Manager,2
26,Kate Gallivan,32,South,Real Estate Agent,2
26,Tessa Tookes,26,Northeast,Human Resources Specialist,2
26,Cassidy Timbrooks,26,West,Executive Recruiter,2
26,Daria Rose,24,Northeast,Law Student,1
26,Hailey Malles,26,South,Pediatric Nurse,1
26,Ivana Noble,31,South,Bar Mitzvah Dancer,1
26,Jane Paik,33,West,Social Media Director,1
26,Lindsay Dobbs,27,South,Neonatal Nurse,1
26,Rianna Hockaday,26,South,Registered Nurse,1
26,Samantha Jeffries,26,Midwest,Occupational Therapist,1
26,Claire Heilig,28,South,Spray Tanner,1
27,Kaitlyn Biggar,27,Foreign,Travel Nurse,winner
27,Gabriella Elnicki,25,Northeast,Senior Account Executive,runnerUp
27,Ariel Frenkel,28,Northeast,Marketing Executive,9
27,Charity Lawson,26,South,Child and Family Therapist,8
27,Katherine Izzo,26,South,Registered Nurse,7
27,Brooklyn Willie,25,South,Rodeo Racer,7
27,Greer Blitzer,24,South,Medical Sales Representative,7
27,Alyssa Jacobs,26,South,Healthcare Strategist,6
27,Jessica Girod,23,South,E-Commerce Coordinator,6
27,Kylee Russell,25,South,Postpartum Nurse,5
27,Mercedes Northup,24,Midwest,Nonprofit Case Manager,5
27,Davia Bunch,25,South,Marketing Manager,4
